Feature,Importance
years_owned,0.4553548169766576
lien_amount,0.14820805895696618
avg_days_on_market,0.04142390356624469
square_feet,0.04112655340689466
property_tax,0.03987773714660076
income_to_mortgage_ratio,0.03775497756823928
distance_to_t,0.03672488414544829
property_value,0.03424478827687023
market_inventory_months,0.033431568316212995
property_age,0.03183652600065764
school_rating,0.029137749135978566
mortgage_rate,0.026361848492203358
has_liens,0.017238203698051395
bathrooms,0.014844415743325092
bedrooms,0.0124339685696493
